date,values,name
2024-05-03T10:15:01.506+05:00,3520774.4,Solar 1
2024-05-03T12:45:01.901+05:00,3522110.6,Solar 1
2024-05-03T12:45:21.917+05:00,3522112.2,Solar 1
2024-05-03T13:00:57.682+05:00,3522169.9,Solar 1
2024-05-03T13:30:31.328+05:00,3522337,Solar 1
2024-05-03T14:30:10.248+05:00,3522614.4,Solar 1
2024-05-03T14:45:00.807+05:00,3522662.2,Solar 1
2024-05-03T15:15:02.293+05:00,3522736.9,Solar 1
2024-05-03T15:30:02.875+05:00,3522755.2,Solar 1
2024-05-03T15:45:03.473+05:00,3522771.6,Solar 1
2024-05-03T16:00:04.028+05:00,3522789.3,Solar 1
2024-05-03T16:15:01.425+05:00,3522808.4,Solar 1
2024-05-03T16:30:02.049+05:00,3522825.9,Solar 1
2024-05-03T16:45:02.842+05:00,3522841,Solar 1
2024-05-03T17:00:03.428+05:00,3522856.8,Solar 1
2024-05-03T17:15:03.983+05:00,3522870.6,Solar 1
2024-05-03T17:30:04.494+05:00,3522879.8,Solar 1
2024-05-03T17:44:59.994+05:00,3522888.4,Solar 1
2024-05-03T18:00:00.533+05:00,3522894.6,Solar 1
2024-05-03T18:15:46.102+05:00,3522899.5,Solar 1
2024-05-03T18:30:01.664+05:00,3522901.6,Solar 1
2024-05-03T18:45:02.265+05:00,3522901.8,Solar 1
2024-05-03T19:00:03.056+05:00,3522901.8,Solar 1
2024-05-03T19:15:03.612+05:00,3522901.8,Solar 1
2024-05-03T19:30:04.168+05:00,3522901.8,Solar 1
2024-05-03T19:44:59.675+05:00,3522901.8,Solar 1
2024-05-03T20:00:00.242+05:00,3522901.8,Solar 1
2024-05-03T20:15:00.836+05:00,3522901.9,Solar 1
2024-05-03T20:30:01.408+05:00,3522901.9,Solar 1
2024-05-03T20:45:01.969+05:00,3522901.9,Solar 1
2024-05-03T21:00:07.547+05:00,3522901.9,Solar 1
2024-05-03T21:15:03.374+05:00,3522901.9,Solar 1
2024-05-03T21:30:04.003+05:00,3522901.9,Solar 1
2024-05-03T21:45:04.592+05:00,3522901.9,Solar 1
2024-05-03T22:00:00.131+05:00,3522901.9,Solar 1
2024-05-03T22:15:00.629+05:00,3522901.9,Solar 1
2024-05-03T22:30:01.246+05:00,3522902,Solar 1
2024-05-03T22:45:01.838+05:00,3522902,Solar 1
2024-05-03T23:00:02.371+05:00,3522902,Solar 1
2024-05-03T23:15:07.956+05:00,3522902,Solar 1
2024-05-03T23:30:03.716+05:00,3522902,Solar 1
2024-05-03T23:45:04.243+05:00,3522902,Solar 1
2024-05-03T23:59:59.781+05:00,3522902,Solar 1
2024-05-04T00:15:00.354+05:00,3522902,Solar 1
2024-05-04T00:30:00.906+05:00,3522902,Solar 1
2024-05-04T00:45:01.441+05:00,3522902,Solar 1
2024-05-04T01:00:01.972+05:00,3522902,Solar 1
2024-05-04T01:15:02.508+05:00,3522902,Solar 1
2024-05-04T01:30:08.076+05:00,3522902.1,Solar 1
2024-05-04T01:45:03.901+05:00,3522902.1,Solar 1
2024-05-04T01:59:59.509+05:00,3522902.1,Solar 1
2024-05-04T02:15:00.081+05:00,3522902.1,Solar 1
2024-05-04T02:30:00.660+05:00,3522902.1,Solar 1
2024-05-04T02:45:01.218+05:00,3522902.1,Solar 1
2024-05-04T03:00:01.794+05:00,3522902.1,Solar 1
2024-05-04T03:15:02.326+05:00,3522902.1,Solar 1
2024-05-04T03:30:02.855+05:00,3522902.1,Solar 1
2024-05-04T03:45:08.422+05:00,3522902.1,Solar 1
2024-05-04T04:00:04.179+05:00,3522902.1,Solar 1
2024-05-04T04:14:59.804+05:00,3522902.2,Solar 1
2024-05-04T04:30:00.368+05:00,3522902.2,Solar 1
2024-05-04T04:45:00.901+05:00,3522902.2,Solar 1
2024-05-04T05:00:01.441+05:00,3522902.2,Solar 1
2024-05-04T05:15:02.012+05:00,3522902.2,Solar 1
2024-05-04T05:30:02.562+05:00,3522902.4,Solar 1
2024-05-04T05:45:03.150+05:00,3522905.4,Solar 1
2024-05-04T06:00:03.780+05:00,3522911.9,Solar 1
2024-05-04T06:14:59.614+05:00,3522926.6,Solar 1
2024-05-04T06:30:00.201+05:00,3522948.9,Solar 1
2024-05-04T06:45:00.705+05:00,3522985.1,Solar 1
2024-05-04T07:00:01.286+05:00,3523025.4,Solar 1
2024-05-04T07:15:01.811+05:00,3523059.3,Solar 1
2024-05-04T07:30:02.313+05:00,3523095.5,Solar 1
2024-05-04T07:45:02.878+05:00,3523142.9,Solar 1
2024-05-04T08:00:03.396+05:00,3523187.3,Solar 1
2024-05-04T08:15:03.962+05:00,3523236.6,Solar 1
2024-05-04T08:29:59.768+05:00,3523294.2,Solar 1
2024-05-04T08:45:00.325+05:00,3523325.7,Solar 1
2024-05-04T09:00:00.880+05:00,3523384.5,Solar 1
2024-05-04T09:15:01.426+05:00,3523500.1,Solar 1
2024-05-04T09:30:02.030+05:00,3523598,Solar 1
2024-05-04T09:45:02.557+05:00,3523709.7,Solar 1
2024-05-04T10:00:03.105+05:00,3523820.6,Solar 1
2024-05-04T10:15:03.655+05:00,3523971.9,Solar 1
2024-05-04T10:29:59.287+05:00,3524163.9,Solar 1
2024-05-04T10:45:00.045+05:00,3524346.2,Solar 1
2024-05-04T11:00:00.606+05:00,3524547.7,Solar 1
2024-05-04T11:15:01.111+05:00,3524752.1,Solar 1
2024-05-04T11:30:01.670+05:00,3524951,Solar 1
2024-05-04T11:45:02.230+05:00,3525141.8,Solar 1
2024-05-04T12:00:02.796+05:00,3525287.1,Solar 1
2024-05-04T12:15:03.352+05:00,3525492.7,Solar 1
2024-05-04T12:30:03.912+05:00,3525693.2,Solar 1
2024-05-04T12:44:59.578+05:00,3525896.3,Solar 1
2024-05-04T13:00:00.370+05:00,3526093.4,Solar 1
2024-05-04T13:15:00.919+05:00,3526285.9,Solar 1
2024-05-04T13:30:01.513+05:00,3526422.4,Solar 1
2024-05-04T13:45:02.056+05:00,3526549.5,Solar 1
2024-05-04T14:00:02.607+05:00,3526719.8,Solar 1
2024-05-04T14:15:03.164+05:00,3526884.4,Solar 1
2024-05-04T14:30:03.695+05:00,3527055.1,Solar 1
2024-05-04T14:45:04.214+05:00,3527212.5,Solar 1
2024-05-04T14:59:59.823+05:00,3527357.1,Solar 1
2024-05-04T15:15:00.556+05:00,3527496.7,Solar 1
2024-05-04T15:30:01.137+05:00,3527626.2,Solar 1
2024-05-04T15:45:01.612+05:00,3527744.6,Solar 1
2024-05-04T16:00:02.198+05:00,3527848.4,Solar 1
2024-05-04T16:15:02.723+05:00,3527940.8,Solar 1
2024-05-04T16:30:03.294+05:00,3528021,Solar 1
2024-05-04T16:45:08.837+05:00,3528089,Solar 1
2024-05-04T16:45:58.866+05:00,3528092,Solar 1
2024-05-04T17:00:04.327+05:00,3528143.8,Solar 1
2024-05-04T17:15:00.013+05:00,3528188.8,Solar 1
2024-05-04T17:30:00.848+05:00,3528222.1,Solar 1
2024-05-04T17:45:01.379+05:00,3528246.4,Solar 1
2024-05-04T17:45:36.403+05:00,3528247.1,Solar 1
2024-05-04T18:00:01.928+05:00,3528263,Solar 1
2024-05-04T18:15:02.527+05:00,3528273.2,Solar 1
2024-05-04T18:15:32.547+05:00,3528273.4,Solar 1
2024-05-04T19:00:29.350+05:00,3528279.1,Solar 1
2024-05-04T23:14:59.656+05:00,3528279.3,Solar 1
2024-05-04T23:30:05.206+05:00,3528279.3,Solar 1
2024-05-04T23:45:00.847+05:00,3528279.3,Solar 1
2024-05-05T00:00:01.630+05:00,3528279.3,Solar 1
2024-05-05T00:15:02.152+05:00,3528279.3,Solar 1
2024-05-05T00:30:02.761+05:00,3528279.3,Solar 1
2024-05-05T04:00:55.445+05:00,3528279.5,Solar 1
2024-05-05T04:15:05.882+05:00,3528279.5,Solar 1
2024-05-05T04:30:01.684+05:00,3528279.5,Solar 1
2024-05-05T04:45:02.275+05:00,3528279.5,Solar 1
2024-05-05T05:00:02.790+05:00,3528279.5,Solar 1
2024-05-05T05:15:03.328+05:00,3528279.5,Solar 1
2024-05-05T05:30:03.887+05:00,3528280.3,Solar 1
2024-05-05T05:44:59.415+05:00,3528284.1,Solar 1
2024-05-05T05:59:59.920+05:00,3528293.1,Solar 1
2024-05-05T06:15:00.454+05:00,3528308.3,Solar 1
2024-05-05T06:30:06.001+05:00,3528330.9,Solar 1
2024-05-05T06:45:01.716+05:00,3528361.8,Solar 1
2024-05-05T07:00:02.352+05:00,3528401.7,Solar 1
2024-05-05T07:15:02.910+05:00,3528453.3,Solar 1
2024-05-05T07:30:03.466+05:00,3528517.6,Solar 1
2024-05-05T07:45:04.056+05:00,3528593.9,Solar 1
2024-05-05T07:59:59.563+05:00,3528681.7,Solar 1
2024-05-05T08:15:00.133+05:00,3528782.2,Solar 1
2024-05-05T08:30:00.663+05:00,3528893.5,Solar 1
2024-05-05T08:45:06.247+05:00,3529016.5,Solar 1
2024-05-05T09:00:01.899+05:00,3529148.5,Solar 1
2024-05-05T09:15:02.611+05:00,3529292,Solar 1
2024-05-05T09:30:03.122+05:00,3529444.7,Solar 1
2024-05-05T09:45:03.708+05:00,3529603.7,Solar 1
2024-05-05T09:59:59.208+05:00,3529770.3,Solar 1
2024-05-05T10:14:59.799+05:00,3529944.2,Solar 1
2024-05-05T10:30:00.282+05:00,3530123.2,Solar 1
2024-05-05T10:45:00.837+05:00,3530305.7,Solar 1
2024-05-05T11:00:06.400+05:00,3530496.8,Solar 1
2024-05-05T11:15:02.035+05:00,3530687.3,Solar 1
2024-05-05T11:30:02.778+05:00,3530880.9,Solar 1
2024-05-05T11:45:03.363+05:00,3531076.7,Solar 1
2024-05-05T12:00:03.862+05:00,3531268.9,Solar 1
2024-05-05T12:14:59.406+05:00,3531463.8,Solar 1
2024-05-05T12:29:59.921+05:00,3531660.6,Solar 1
2024-05-05T12:45:00.457+05:00,3531855.4,Solar 1
2024-05-05T13:00:01.018+05:00,3532046.7,Solar 1
2024-05-05T13:15:06.550+05:00,3532233.8,Solar 1
2024-05-05T13:30:02.259+05:00,3532411.8,Solar 1
2024-05-05T13:45:02.893+05:00,3532587.6,Solar 1
2024-05-05T14:00:03.431+05:00,3532756.3,Solar 1
2024-05-05T14:15:03.923+05:00,3532917.4,Solar 1
2024-05-05T14:29:59.451+05:00,3533071.6,Solar 1
2024-05-05T14:44:59.945+05:00,3533220.2,Solar 1
2024-05-05T15:00:00.490+05:00,3533361.6,Solar 1
2024-05-05T15:15:01.011+05:00,3533491.6,Solar 1
2024-05-05T15:30:06.538+05:00,3533613.1,Solar 1
2024-05-05T15:45:02.090+05:00,3533723.8,Solar 1
2024-05-05T16:00:02.838+05:00,3533823.1,Solar 1
2024-05-05T16:15:03.314+05:00,3533909.5,Solar 1
2024-05-05T16:30:03.829+05:00,3533984.1,Solar 1
2024-05-05T16:44:59.295+05:00,3534024.4,Solar 1
2024-05-05T16:59:59.828+05:00,3534074.7,Solar 1
2024-05-05T17:15:00.363+05:00,3534114.5,Solar 1
2024-05-05T17:30:00.873+05:00,3534145.3,Solar 1
2024-05-05T17:45:06.375+05:00,3534168.7,Solar 1
2024-05-05T18:00:06.912+05:00,3534185.9,Solar 1
2024-05-05T18:15:02.673+05:00,3534196.6,Solar 1
2024-05-05T18:30:03.198+05:00,3534201.9,Solar 1
2024-05-05T18:45:03.747+05:00,3534203.8,Solar 1
2024-05-05T18:59:59.240+05:00,3534203.9,Solar 1
2024-05-05T19:14:59.771+05:00,3534204,Solar 1
2024-05-05T19:30:00.283+05:00,3534204,Solar 1
